51,325,1,고덕,Godeok,LINE 5,552,상일동,Sangil-dong,LINE 5,553
52,533,1,고려대,Korea Univ.,LINE 6,640,월곡,Wolgok,LINE 6,641
53,79,1,고속터미널,Express Bus Terminal,LINE 3,339,교대,Seoul Nat`l Univ. of Education,LINE 3,340
53,130,2,고속터미널,Express Bus Terminal,LINE 7,734,내방,Naebang,LINE 7,735
53,300,1,고속터미널,Express Bus Terminal,LINE 9,923,사평,Sapyeong,LINE 9,924
56,644,2,고잔,Gojan,LINE 4,451,초지,Choji,LINE 4,452
57,274,2,고진,Gojin,Yongin Everline,Y121,보평,Bopyeong,Yongin Everline,Y123
58,260,2,곡산,Goksan,Gyeongui-Jungang Line,K323,백마,Baengma,Gyeongui-Jungang Line,K324
59,469,1,곤제,gonjae,Uijeongbu Lrt Line,U122,어룡,eoryong,Uijeongbu Lrt Line,U123
60,417,7,곤지암,Gonjiam,Gyeonggang Line,K415,신둔도예촌,Sindundoyechon,Gyeonggang Line,K416
61,331,2,공덕,Gongdeok,Gyeongui-Jungang Line,K312,서강대,Sogang Univ.,Gyeongui-Jungang Line,K313
61,453,1,공덕,Gongdeok,LINE 5,529,애오개,Aeogae,LINE 5,530
61,684,3,공덕,Gongdeok,Airport Railroad Line,A02,홍대입구,Hongik Univ.,Airport Railroad Line,A03
61,701,1,공덕,Gongdeok,LINE 6,626,효창공원앞,Hyochang park,LINE 6,627
65,655,1,공릉,Gongneung,LINE 7,716,태릉입구,Taereung,LINE 7,717
66,421,1,공항시장,Airport Market,LINE 9,903,신방화,Sinbanghwa,LINE 9,904
67,560,3,공항화물청사,Incheon Intl. Airport Cargo Terminal,Airport Railroad Line,A09,인천공항1터미널,Incheon Intl. Airport,Airport Railroad Line,A10
68,586,1,과천,Gwacheon,LINE 4,438,정부과천청사,Government Complex Gwacheon,LINE 4,439
69,449,2,관악,Gwanak,LINE 1,P146,안양,Anyang,LINE 1,P147
71,70,2,광교중앙,GwanggyoJungang,Shinbundang Line,D18,광교,Gwanggyo,Shinbundang Line,D19
72,628,2,광나루,Gwangnaru,LINE 5,546,천호,Cheonho,LINE 5,547
74,627,1,광명사거리,Gwangmyeongsageori,LINE 7,748,천왕,Cheonwang,LINE 7,749
75,319,5,광운대,Kwangwoon Univ.,Gyuongchun Line,P116,상봉,Sangbong,Gyuongchun Line,P120
75,346,1,광운대,Kwangwoon Univ.,LINE 1,119,석계,Seokgye,LINE 1,120
77,593,1,광화문,Gwanghwamun,LINE 5,533,종로3가,Jongno 3(sam)-ga,LINE 5,534
78,161,1,광흥창,Gwangheungchang,LINE 6,624,대흥,Daeheung,LINE 6,625
79,124,1,교대,Seoul Nat`l Univ. of Education,LINE 3,340,남부터미널,Nambu Bus Terminal,LINE 3,341
79,344,1,교대,Seoul Nat`l Univ. of Education,LINE 2,223,서초,Seocho,LINE 2,224
81,4,2,구로,Guro,LINE 1,141,가산디지털단지,Gasan Digital Complex,LINE 1,P142
81,89,1,구로,Guro,LINE 1,141,구일,Guil,LINE 1,142
82,152,1,구로디지털단지,Guro Digital Complex,LINE 2,232,대림,Daerim,LINE 2,233
