67,공항화물청사,Incheon Intl. Airport Cargo Terminal,Airport Railroad Line,A09,384282,1099430,37.458366,126.476241
68,과천,Gwacheon,LINE 4,438,499077,1091800,37.433021,126.996568
69,관악,Gwanak,LINE 1,P146,479698,1088013,37.419232,126.908706
70,광교,Gwanggyo,Shinbundang Line,D19,,,37.30211,127.044483
71,광교중앙,GwanggyoJungang,Shinbundang Line,D18,,,37.288617,127.051478
72,광나루,Gwangnaru,LINE 5,546,522710,1123015,37.545303,127.10357
73,광명,Gwangmyeong,LINE 1,P144-1,474465,1087601,37.416182,126.884466
74,광명사거리,Gwangmyeongsageori,LINE 7,748,467782,1104757,37.479252,126.854876
75,광운대,Kwangwoon Univ.,Gyuongchun Line,P116,513467,1144785,37.623632,127.061835
75,광운대,Kwangwoon Univ.,LINE 1,119,513467,1144785,37.623632,127.061835
77,광화문,Gwanghwamun,LINE 5,533,494520,1130442,37.571026,126.976669
78,광흥창,Gwangheungchang,LINE 6,624,484776,1123677,37.547456,126.931993
79,교대,Seoul Nat`l Univ. of Education,LINE 2,223,502900,1108655,37.493415,127.01408
79,교대,Seoul Nat`l Univ. of Education,LINE 3,340,502900,1108655,37.493415,127.01408
81,구로,Guro,LINE 1,141,473665,1111027,37.503039,126.881966
82,구로디지털단지,Guro Digital Complex,LINE 2,232,478070,1106435,37.485266,126.901401
83,구룡,Guryong,Bundang Line,k218,512907,1106947,37.486839,127.058856
84,구리,Guri,Gyeongui-Jungang Line,K123,531520,1139097,37.603392,127.143869
85,구반포,Gubanpo,LINE 9,921,497032,1110978,37.501364,126.987332
86,구산,Gusan,LINE 6,615,481445,1141345,37.611377,126.91727
87,구성,Guseong,Bundang Line,K235,523000,1054700,37.298969,127.105664
88,구의,Guui,LINE 2,213,518867,1120790,37.537077,127.085916
89,구일,Guil,LINE 1,142,471027,1109500,37.496756,126.870793
90,구파발,Gupabal,LINE 3,320,481875,1148452,37.636763,126.918821
91,국수,Guksu,Gyeongui-Jungang Line,K132,587806,1115232,37.516169,127.399367
92,국제업무지구,Intl. Business District,Incheon Line1,I138,418000,1082740,37.399907,126.630347
93,국회의사당,National Assembly,LINE 9,914,481632,1118278,37.528105,126.917874
94,군자,Gunja,LINE 5,544,517395,1126285,37.557121,127.079542
94,군자,Gunja,LINE 7,725,517395,1126285,37.557121,127.079542
96,군포,Gunpo,LINE 1,P150,488327,1069692,37.35356,126.948462
97,굴봉산,Gulbongsan,Gyuongchun Line,P135,622627,1202925,37.832067,127.557695
98,굴포천,Gulpocheon,LINE 7,758,440720,1112472,37.506997,126.73128
99,굽은다리,Gubeundari,LINE 5,550,531440,1123127,37.545477,127.142853
100,귤현,Gyulhyeon,Incheon Line1,I111,442922,1128840,37.566379,126.742654
101,금곡,Geumgok,Gyuongchun Line,P127,545627,1148565,37.637382,127.207853
102,금릉,Geumneung,Gyeongui-Jungang Line,K330,448220,1180380,37.751322,126.765347
103,금정,Geumjeong,LINE 1,P149,487357,1075022,37.372221,126.943429
103,금정,Geumjeong,LINE 4,443,487357,1075022,37.372221,126.943429
105,금천구청,Geumcheon-Gu Office,LINE 1,P144,476450,1098232,37.455626,126.89398
106,금촌,Geumchon,Gyeongui-Jungang Line,K331,450120,1184280,37.766217,126.774644
107,금호,Geumho,LINE 3,334,503275,1123820,37.548034,127.015872
108,기흥,Giheung,Bundang Line,K237,525500,1048200,37.275619,127.115936
108,기흥,Giheung,Yongin Everline,Y110,525500,1048200,37.275619,127.115936
110,길동,Gil-dong,LINE 5,549,530777,1121007,37.537801,127.140004
111,길음,Gireum,LINE 4,417,505320,1139202,37.603407,127.025053
112,김량장,Gimnyangjang,Yongin Everline,Y119,543900,1037700,37.237247,127.198781
113,김유정,Gimyujeong,Gyuongchun Line,P138,657027,1199465,37.818466,127.71434
114,김포공항,Gimpo Intl. Airport,Airport Railroad Line,A05,455957,1127820,37.562434,126.801058
114,김포공항,Gimpo Intl. Airport,LINE 5,512,455957,1127820,37.562434,126.801058
114,김포공항,Gimpo Intl. Airport,LINE 9,902,455957,1127820,37.562434,126.801058
117,까치산,Kkachisan,LINE 2,234-4,466017,1119387,37.531768,126.846683
117,까치산,Kkachisan,LINE 5,518,466017,1119387,37.531768,126.846683
119,까치울,Kkachiul,LINE 7,751,458020,1112272,37.506207,126.810939
120,낙성대,Nakseongdae,LINE 2,227,491805,1104272,37.47693,126.963693
121,남구로,Namguro,LINE 7,745,474900,1106587,37.486056,126.887249
122,남동구청,Namdong-gu Office,Incheon Line2,I225,,,37.448161,126.736939
123,남동인더스파크,Namdong Induspark,Suin Line,K256,432555,1084945,37.407722,126.695216
124,남부터미널,Nambu Bus Terminal,LINE 3,341,503497,1106375,37.485013,127.016189
125,남성,Namseong,LINE 7,737,493425,1106212,37.484596,126.971251
126,남영,Namyeong,LINE 1,134,493462,1122025,37.541021,126.9713
127,남춘천,Namchuncheon,Gyuongchun Line,P139,659057,1212015,37.864007,127.723792
128,남태령,Namtaeryeong,LINE 4,434,497392,1100550,37.463873,126.989134
129,남한산성입구,Namhansanseong,LINE 8,822,535225,1097102,37.451535,127.159816
130,내방,Naebang,LINE 7,735,498380,1107067,37.487618,126.993513
131,노들,Nodeul,LINE 9,918,489532,1114078,37.512887,126.953222
132,노량진,Noryangjin,LINE 1,136,487327,1114430,37.514219,126.942454
132,노량진,Noryangjin,LINE 9,917,487327,1114430,37.514219,126.942454
134,노원,Nowon,LINE 4,411,513622,1153612,37.655128,127.061368
134,노원,Nowon,LINE 7,713,513622,1153612,37.655128,127.061368
136,녹번,Nokbeon,LINE 3,323,485672,1138467,37.600927,126.935756
137,녹사평,Noksapyeong,LINE 6,629,496899,1120133,37.534675,126.986695
138,녹양,Nogyang,LINE 1,108,509151,1182411,37.75938,127.042292
139,녹천,Nokcheon,LINE 1,117,511557,1150497,37.644799,127.051269
140,논현,Nonhyeon,LINE 7,732,504607,1113585,37.511093,127.021415
141,능곡,Neunggok,Gyeongui-Jungang Line,K321,460120,1143579,37.618808,126.820783
142,단대오거리,Dandaeogeori,LINE 8,823,534430,1095327,37.44521,127.156866
143,달월,Dalwol,Suin Line,K251,443455,1077245,37.379681,126.745177
144,답십리,Dapsimni,LINE 5,542,511330,1129032,37.566747,127.052704
145,당고개,Danggogae,LINE 4,409,517267,1157807,37.670272,127.079066
